iter	Logloss
0	0.6849197809
1	0.6767524204
2	0.6689781837
3	0.6612517691
4	0.6539309633
5	0.6470422428
6	0.6409218364
7	0.6349706857
8	0.6290743693
9	0.6233787208
10	0.6172594774
11	0.6110451666
12	0.6058992844
13	0.6006580838
14	0.5959922663
15	0.5914864257
16	0.5872958876
17	0.5835847398
18	0.5799996276
19	0.5761884494
20	0.5722129663
21	0.5688008319
22	0.5655656504
23	0.5622151056
24	0.5599185024
25	0.5569055488
26	0.5538061807
27	0.5512290642
28	0.5482698663
29	0.5457578929
30	0.5431322216
31	0.5405113484
32	0.5384682516
33	0.5361605718
34	0.5330911755
35	0.5310345679
36	0.5290081337
37	0.5263641952
38	0.5245026108
39	0.5229487408
40	0.5212728178
41	0.5195988531
42	0.5176157941
43	0.5163064655
44	0.5139539637
45	0.5123462892
46	0.5107868152
47	0.5093885391
48	0.5078233072
49	0.5065639557
50	0.5054125638
51	0.5043532052
52	0.5027759543
53	0.5014720689
54	0.4998348907
55	0.4985173626
56	0.4971741873
57	0.4960877637
58	0.4949528346
59	0.4940257335
60	0.4930015402
61	0.4919119617
62	0.4911512156
63	0.4902012715
64	0.4888212608
65	0.4878155497
66	0.4870459414
67	0.4859540693
68	0.4851254668
69	0.4837694225
70	0.4828479715
71	0.4820015109
72	0.4812031201
73	0.4799349971
74	0.4787719658
75	0.4781098273
76	0.4771964845
77	0.4761320558
78	0.4753791399
79	0.4746503403
80	0.4744147586
81	0.4736923253
82	0.4731803249
83	0.4722510651
84	0.4716878128
85	0.4710438417
86	0.4706116495
87	0.4696953118
88	0.4692428872
89	0.4687498154
90	0.4680558992
91	0.4674442208
92	0.4670001056
93	0.4661131135
94	0.4654337324
95	0.464837983
96	0.4645343675
97	0.4638836494
98	0.4630051259
99	0.4624852765
100	0.4620128074
101	0.4612788024
102	0.4606721444
103	0.4601804905
104	0.4597285446
105	0.4593322524
106	0.458858799
107	0.4584197416
108	0.4579247361
109	0.457573032
110	0.4571163767
111	0.4564928782
112	0.4561447027
113	0.4554792719
114	0.4550891218
115	0.4543571029
116	0.4542677688
117	0.453546007
118	0.453224273
119	0.4526323286
120	0.4521989526
121	0.4517482694
122	0.4512319781
123	0.4507962905
124	0.4503567158
125	0.4498734867
126	0.449670049
127	0.4492976427
128	0.4488605134
129	0.4485394381
130	0.4481997025
131	0.4476536183
132	0.4472563368
133	0.4468880008
134	0.4464269699
135	0.446086999
136	0.4457308065
137	0.4452749085
138	0.4449666355
139	0.4446868269
140	0.4442985487
141	0.4436600489
142	0.4435708941
143	0.4432851416
144	0.4429305993
145	0.4424997668
146	0.4423628534
147	0.441987721
148	0.4417777994
149	0.4414523388
150	0.4410194455
151	0.4406992162
152	0.4404620395
153	0.4401738541
154	0.4399280756
155	0.4395843208
156	0.4393254371
157	0.4386407321
158	0.4383508678
159	0.4380966896
160	0.437930543
161	0.4375196992
162	0.4371889371
163	0.4369191406
164	0.4367482518
165	0.436451957
166	0.4360427547
167	0.4357821837
168	0.4355554914
169	0.4352300272
170	0.4348008872
171	0.434429287
172	0.4341549528
173	0.4338066239
174	0.4335939253
175	0.4332393776
176	0.4328450123
177	0.4325099938
178	0.431953046
179	0.4317382652
180	0.4314321549
181	0.4311513726
182	0.4308871509
183	0.4305710468
184	0.4302145825
185	0.4297218538
186	0.4291594146
187	0.428951473
188	0.4286096554
189	0.4281466912
190	0.4279413214
191	0.4276620489
192	0.427338995
193	0.4270197978
194	0.426851563
195	0.4266231751
196	0.4264585072
197	0.426150483
198	0.4259627656
199	0.4257095353
200	0.4254383375
201	0.4252535772
202	0.4250599017
203	0.424898558
204	0.4247231433
205	0.4245960443
206	0.424313974
207	0.4240691629
208	0.4238602859
209	0.4236817257
210	0.4234600449
211	0.4231915431
212	0.4230017509
213	0.422756474
214	0.4224882712
215	0.4222482992
216	0.4219363543
217	0.421765169
218	0.4214808586
219	0.4212058667
220	0.4209685012
221	0.420466148
222	0.4201868388
223	0.4200535892
224	0.4197231583
225	0.4196275268
226	0.4194003891
227	0.4192403458
228	0.4190522825
229	0.4189040572
230	0.4187314775
231	0.4186122764
232	0.418294146
233	0.4181354555
234	0.4176384277
235	0.4173377704
236	0.4172846902
237	0.4171478145
238	0.4169721422
239	0.4166139229
240	0.4164327933
241	0.4162160185
242	0.4159243339
243	0.4156465382
244	0.4152895853
245	0.4150891913
246	0.4149124332
247	0.4145669375
248	0.4143487224
249	0.4142088802
250	0.4140948301
251	0.4138617036
252	0.4135043098
253	0.4131077607
254	0.4129008936
255	0.4126442946
256	0.4124595901
257	0.4120240985
258	0.4117359663
259	0.4116141894
260	0.4109601337
261	0.4108892321
262	0.410660057
263	0.4104834352
264	0.4102331105
265	0.4100444712
266	0.4097515999
267	0.4094800188
268	0.4093276528
269	0.4091003168
270	0.4088244051
271	0.4086618811
272	0.4084632277
273	0.4083511603
274	0.4081531889
275	0.4078821841
276	0.4076747047
277	0.4075065234
278	0.4072411259
279	0.4067920106
280	0.4066272592
281	0.4064628272
282	0.4062153696
283	0.4059649945
284	0.4056713407
285	0.4055008772
286	0.4053239312
287	0.4050477106
288	0.4048037927
289	0.404599
290	0.4044752329
291	0.404352033
292	0.4041458605
293	0.4039003748
294	0.4038294157
295	0.4035110703
296	0.40334572
297	0.40320649
298	0.4029488497
299	0.4027748444
300	0.4026114098
301	0.4023955051
302	0.4021603036
303	0.4020440444
304	0.4018400295
