iter	Passed	Remaining
473	727	807
474	729	806
475	730	804
476	732	803
477	734	801
478	735	800
479	737	798
480	738	796
481	740	795
482	741	793
483	743	792
484	744	790
485	746	789
486	747	787
487	749	786
488	750	784
489	752	783
490	754	781
491	755	780
492	757	778
493	758	776
494	760	775
495	761	773
496	763	772
497	764	770
498	766	769
499	767	767
500	769	766
501	770	764
502	772	763
503	773	761
504	775	760
505	776	758
506	778	756
507	779	755
508	781	753
509	783	752
510	784	750
511	786	749
512	787	747
513	789	746
514	790	744
515	792	743
516	793	741
517	795	740
518	797	738
519	798	737
520	800	735
521	802	734
522	803	732
523	805	731
524	806	729
525	808	728
526	809	726
527	811	725
528	812	723
529	814	722
530	815	720
531	817	719
532	818	717
533	820	715
534	821	714
535	823	712
536	824	711
537	826	709
538	828	708
539	829	706
540	831	705
541	832	703
542	834	702
543	835	700
544	837	699
545	839	697
546	840	696
547	842	694
548	843	693
549	845	691
550	847	690
551	848	688
552	850	687
553	851	685
554	853	684
555	854	682
556	856	681
557	857	679
558	859	678
559	860	676
560	862	674
561	864	673
562	865	671
563	867	670
564	868	668
565	870	667
566	871	665
567	873	664
568	875	662
569	876	661
570	878	659
571	880	658
572	881	657
573	883	655
574	885	654
575	886	652
576	888	651
577	889	649
578	891	648
579	892	646
580	894	645
581	896	643
582	897	642
583	899	640
584	900	639
585	902	637
586	903	636
587	905	634
588	906	632
589	908	631
590	910	629
591	911	628
592	913	626
593	914	625
594	916	623
595	918	622
596	919	620
597	921	619
598	923	617
599	924	616
600	926	614
601	927	613
602	929	611
603	931	610
604	932	608
605	933	607
606	935	605
607	937	604
608	938	602
609	940	601
610	942	600
611	945	599
612	947	597
613	949	596
614	951	595
615	952	594
616	954	592
617	956	591
618	958	589
619	959	588
620	961	586
621	963	585
622	964	583
623	966	582
624	967	580
625	969	579
626	971	577
627	973	576
628	974	574
629	976	573
630	977	571
631	979	570
632	980	568
633	982	567
634	983	565
635	985	563
636	986	562
637	988	560
638	989	559
639	991	557
640	993	556
641	994	554
642	996	553
643	997	551
644	999	549
645	1000	548
646	1002	546
647	1003	545
648	1005	543
649	1006	542
650	1008	540
651	1009	539
652	1011	537
653	1013	536
654	1015	534
655	1016	533
656	1018	531
657	1019	529
658	1021	528
659	1022	526
660	1024	525
661	1026	523
662	1027	522
663	1029	520
664	1030	519
665	1032	517
666	1033	516
667	1035	514
668	1036	513
669	1038	511
670	1040	510
671	1041	508
672	1043	506
673	1044	505
674	1046	503
675	1048	502
676	1049	500
677	1051	499
678	1052	497
679	1054	496
680	1056	494
681	1057	493
682	1059	491
683	1061	490
684	1062	488
685	1064	487
686	1065	485
687	1067	484
688	1068	482
689	1070	480
690	1071	479
691	1073	477
692	1075	476
693	1076	474
694	1077	473
695	1079	471
696	1081	469
697	1082	468
698	1084	466
699	1085	465
700	1087	463
701	1089	462
702	1090	460
703	1092	459
704	1093	457
705	1095	456
706	1097	454
707	1099	453
708	1100	451
709	1102	450
710	1104	448
711	1105	447
712	1107	445
713	1109	444
714	1110	442
715	1112	441
716	1113	439
717	1115	438
718	1117	436
719	1118	434
720	1120	433
721	1121	431
722	1123	430
723	1125	428
724	1126	427
725	1128	425
726	1129	424
727	1131	422
728	1133	421
729	1135	419
730	1136	418
731	1138	416
732	1139	415
733	1141	413
734	1143	412
735	1145	410
736	1146	409
737	1148	407
738	1150	406
739	1151	404
740	1153	403
741	1155	401
742	1156	400
743	1158	398
744	1159	396
745	1161	395
746	1162	393
747	1164	392
748	1165	390
749	1167	389
750	1169	387
751	1170	386
752	1172	384
753	1173	382
754	1175	381
755	1176	379
756	1178	378
757	1180	376
758	1181	375
759	1183	373
760	1184	372
761	1186	370
762	1188	369
763	1189	367
764	1191	365
765	1192	364
766	1194	362
767	1197	361
768	1199	360
769	1201	358
770	1203	357
771	1204	355
772	1206	354
773	1208	352
774	1209	351
775	1211	349
776	1213	348
777	1214	346
778	1216	345
779	1218	343
780	1219	342
781	1221	340
782	1222	338
783	1224	337
784	1226	335
785	1227	334
786	1229	332
787	1230	331
788	1232	329
789	1234	328
790	1236	326
791	1237	325
792	1239	323
793	1240	321
794	1242	320
795	1244	318
796	1245	317
797	1247	315
798	1249	314
799	1251	312
800	1252	311
801	1254	309
802	1256	308
803	1257	306
804	1259	305
805	1260	303
806	1262	301
807	1264	300
808	1265	298
809	1267	297
810	1268	295
811	1270	294
812	1272	292
813	1274	291
814	1276	289
815	1277	288
816	1279	286
817	1281	285
818	1282	283
819	1284	282
820	1286	280
821	1288	278
822	1290	277
823	1291	275
824	1293	274
825	1294	272
826	1296	271
827	1298	269
828	1300	268
829	1301	266
830	1303	265
831	1305	263
832	1306	261
833	1308	260
834	1310	258
835	1311	257
836	1313	255
837	1315	254
838	1316	252
839	1318	251
840	1320	249
841	1321	248
842	1323	246
843	1324	244
844	1326	243
845	1328	241
846	1329	240
847	1331	238
848	1332	237
849	1334	235
850	1336	233
851	1337	232
852	1339	230
853	1341	229
854	1342	227
855	1344	226
856	1346	224
857	1348	223
858	1349	221
859	1351	220
860	1353	218
861	1354	216
862	1356	215
863	1357	213
864	1359	212
865	1360	210
866	1362	208
867	1363	207
868	1365	205
869	1366	204
870	1368	202
871	1370	201
872	1372	199
873	1374	198
874	1376	196
875	1377	195
876	1379	193
877	1381	191
878	1382	190
879	1384	188
880	1386	187
881	1387	185
882	1389	184
883	1390	182
884	1392	180
885	1394	179
886	1395	177
887	1397	176
888	1398	174
889	1400	173
890	1402	171
891	1403	169
892	1405	168
893	1407	166
894	1408	165
895	1410	163
896	1412	162
897	1413	160
898	1415	158
899	1416	157
900	1418	155
901	1420	154
902	1422	152
903	1424	151
904	1425	149
905	1427	148
906	1429	146
907	1430	144
908	1432	143
909	1434	141
910	1436	140
911	1437	138
912	1439	137
913	1440	135
914	1442	134
915	1443	132
916	1445	130
917	1447	129
918	1449	127
919	1450	126
920	1452	124
921	1453	123
922	1455	121
923	1457	119
924	1458	118
925	1460	116
926	1462	115
927	1463	113
928	1465	111
929	1466	110
930	1468	108
931	1469	107
932	1471	105
933	1473	104
934	1474	102
935	1476	100
936	1478	99
937	1479	97
938	1481	96
939	1482	94
940	1484	93
941	1485	91
942	1487	89
943	1489	88
944	1491	86
945	1492	85
946	1494	83
947	1496	82
948	1497	80
949	1499	78
950	1501	77
951	1503	75
952	1504	74
953	1506	72
954	1508	71
955	1509	69
956	1511	67
957	1512	66
958	1514	64
959	1516	63
960	1518	61
961	1519	60
962	1521	58
963	1523	56
964	1525	55
965	1526	53
966	1528	52
967	1530	50
968	1532	49
969	1533	47
970	1535	45
971	1537	44
972	1538	42
973	1540	41
974	1542	39
975	1543	37
976	1545	36
977	1546	34
978	1548	33
979	1550	31
980	1551	30
981	1553	28
982	1555	26
983	1557	25
984	1558	23
985	1561	22
986	1564	20
987	1565	19
988	1567	17
989	1569	15
990	1571	14
991	1572	12
992	1574	11
993	1576	9
994	1577	7
995	1579	6
996	1581	4
997	1582	3
998	1584	1
999	1586	0
